helics_simulation_time,powerRequired
1105.0,-579.2829874660115
1106.0,-570.3797891572311
1107.0,-561.8123158529928
1108.0,-553.5933603730821
1109.0,-545.7313479023311
1110.0,-538.2210004260673
1111.0,-531.0781227006165
1112.0,-524.327926577514
1113.0,-517.966164465644
1114.0,-511.9553787504972
1115.0,-506.31484832275197
1116.0,-501.1027615406213
1117.0,-496.30886140132395
1118.0,-491.8518966512328
1119.0,-487.7827102757154
1120.0,-484.09962540846874
1121.0,-480.7955371736166
1122.0,-477.8603714353317
1123.0,-475.28852401238026
1124.0,-473.0729641792491
1125.0,-471.2066727515168
1126.0,-469.68259443614653
1127.0,-468.490690233424
1128.0,-467.62428378211496
1129.0,-467.0748295093042
1130.0,-466.82511081542714
1131.0,-466.86845128889
1132.0,-467.19303992182137
1133.0,-467.7794167218318
1134.0,-468.6184717225566
1135.0,-469.6942698878655
1136.0,-470.9838112772028
1137.0,-472.4753864551982
1138.0,-473.9238029305752
1139.0,-474.1358717646926
1140.0,-474.1029866143024
1141.0,-474.16072026182246
1142.0,-474.28895029428105
1143.0,-474.49159035298095
1144.0,-474.7132510593134
1145.0,-474.9700293423953
1146.0,-475.2696260667635
1147.0,-475.6156760633654
1148.0,-476.01030979785486
1149.0,-476.45479937300473
1150.0,-476.9498498480009
1151.0,-477.4970304299759
1152.0,-478.09720842272174
1153.0,-478.7510558460678
1154.0,-479.4594145110976
1155.0,-480.2223263835968
1156.0,-481.0401568931252
1157.0,-481.91241717384077
1158.0,-482.8397445437206
1159.0,-483.8223284251876
1160.0,-484.8590727815914
1161.0,-485.95056444308346
1162.0,-487.0968285140253
1163.0,-488.2963943140329
1164.0,-489.5493216619428
1165.0,-490.8554128222687
1166.0,-492.21341046157056
1167.0,-493.6225061889815
1168.0,-495.0823774940056
1169.0,-496.591790047667
1170.0,-498.1491324845431
1171.0,-499.7539231808836
1172.0,-501.4052267839303
1173.0,-503.10210547030437
1174.0,-504.8433758576451
1175.0,-506.6265090855346
1176.0,-508.45106048163507
1177.0,-510.3157286825187
1178.0,-512.2191759146299
1179.0,-514.1600279942849
1180.0,-516.1361214744073
1181.0,-518.1461076866804
1182.0,-520.1884183947593
1183.0,-522.2613539986855
1184.0,-524.3631610631595
1185.0,-526.4921762649825
1186.0,-528.6466370347946
1187.0,-530.8246041879748
1188.0,-533.0241642113838
1189.0,-535.2433552706734
1190.0,-537.4803493819156
1191.0,-539.7336643308632
1192.0,-542.0010103074662
1193.0,-544.2803842337996
1194.0,-546.5697503410447
1195.0,-548.8670401694872
1196.0,-551.1709003470846
1197.0,-553.4789583180194
1198.0,-555.7891814233452
1199.0,-558.099524386394
1200.0,-560.4079239960464
1201.0,-562.7408905936352
1202.0,-565.0681182815605
1203.0,-567.386948739579
1204.0,-569.6953471167699
1205.0,-571.9910800844084
1206.0,-574.2736833959038
1207.0,-576.5395622858096
1208.0,-578.7889167226275
1209.0,-581.0175027043019
1210.0,-583.2260190884812
1211.0,-585.4098003230415
1212.0,-587.5701995682062
1213.0,-589.7029829905385
1214.0,-591.8079649409073
1215.0,-593.8826891319768
1216.0,-595.925177923598
1217.0,-597.9337946755793
1218.0,-599.9066041301882
1219.0,-601.8417892815539
