helics_simulation_time,heatPump.ElectricalConsumption_HeatPump,heatPump.T_Return,heatPump.QflowHPvol,heatPump.StandbyHeatLoss,heatPump.COP,apartment.DayZon.TRooAir,apartment.DayZon.occupation,thermostatDayZ.TSetHea.y[1],apartment.DayZon.RadiantSlab.surf_a.Q_flow,apartment.DayZon.RHroom,apartment.NigZone.TRooAir,apartment.NigZone.occupation,thermostatNigZ.TSetHea.y[1],apartment.NigZone.RadiantSlab.surf_a.Q_flow,apartment.NigZone.RHroom,apartment.Bathroom.TRooAir,apartment.Bathroom.occupation,thermostatBathroom.TSetHea.y[1],apartment.Bathroom.RadiantSlab.surf_a.Q_flow,apartment.Bathroom.RHroom
8681585.0,0.0,-1,0.0,4.094556872218087,0.0,293.4898606515688,0.0,291.15,-103.75217314650612,64.38769197461227,292.96307731006664,0.0,291.15,3.5985193176616237,66.49961451192975,293.77883397893686,0.0,283.15,-27.638844612532974,63.06877820155415
8681590.0,0.0,-1,0.0,4.091813756801912,0.0,293.49001342788347,0.0,291.15,-103.7119987011182,64.38901258008796,292.9632879238709,0.0,291.15,3.5984671033881677,66.50075660651694,293.77883778286684,0.0,283.15,-27.629384524001196,63.070738581217455
8681595.0,0.0,-1,0.0,4.0890726420470855,0.0,293.4901661292307,0.0,291.15,-103.6717451740226,64.39033212046394,292.9634986583933,0.0,291.15,3.5983706481985083,66.5018967554175,293.7788413856313,0.0,283.15,-27.61990241089459,63.07269843819685
8681600.0,0.0,-1,0.0,4.086333538058018,0.0,293.4903187587745,0.0,291.15,-103.6314265796492,64.39165058433642,292.9637095169681,0.0,291.15,3.598223419433822,66.50303494615268,293.7788447865525,0.0,283.15,-27.610398596087165,63.07465777618984
8681605.0,0.0,-1,0.0,4.0835964549390456,0.0,293.49047131957013,0.0,291.15,-103.59105756442727,64.39296796074909,292.9639205028014,0.0,291.15,3.5980185198606813,66.5041711667876,293.7788479850015,0.0,283.15,-27.600873398796345,63.07661659871899
8681610.0,0.0,-1,0.0,4.080861402794426,0.0,293.4906238146075,0.0,291.15,-103.55065341339954,64.394284239036,292.9641316190172,0.0,291.15,3.5977487008819473,66.50530540575636,293.7788509803876,0.0,283.15,-27.591327139137203,63.07857490918738
8681615.0,0.0,-1,0.0,4.078128391728645,0.0,293.49077624680615,0.0,291.15,-103.51023005138751,64.39559940884209,292.9643428686545,0.0,291.15,3.5974063618145076,66.50643765187735,293.7788537721577,0.0,283.15,-27.581760138076163,63.08053271088031
8681620.0,0.0,-1,0.0,4.075397431845961,0.0,293.4909286190155,0.0,291.15,-103.4698040448124,64.3969134601255,292.9645542546677,0.0,291.15,3.59698355057699,66.50756789435233,293.7788563597955,0.0,283.15,-27.57217271794231,63.082490006971945
8681625.0,0.0,-1,0.0,4.072668533250786,0.0,293.4910809340054,0.0,291.15,-103.42939260223383,64.39822638319411,292.9647657799182,0.0,291.15,3.596471961628666,66.50869612280191,293.77885874282214,0.0,283.15,-27.562565201925835,63.08444680052278
8681630.0,0.0,-1,0.0,4.069941706047453,0.0,293.4912331944217,0.0,291.15,-103.3890135669719,64.39953816886295,292.96497744712997,0.0,291.15,3.5958629220870426,66.5098223274264,293.7788609208021,0.0,283.15,-27.552937909265253,63.08640309443747
