helics_simulation_time,gridP,cooSea,T_DHWSetpoint,TimeOfDay,Occupation[1],TSetPoiZon[1],TSetPoiZonSelCon[1],Occupation[2],TSetPoiZon[2],TSetPoiZonSelCon[2],Occupation[3],TSetPoiZon[3],TSetPoiZonSelCon[3]
1310.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1320.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1330.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1340.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1350.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1360.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1370.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1380.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1390.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1400.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1410.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1420.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1430.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1440.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1450.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1460.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1470.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1480.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1490.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1500.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1510.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1520.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1530.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1540.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1550.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1560.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1570.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1580.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1590.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1600.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1610.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1620.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1630.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1640.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1650.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1660.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1670.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1680.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1690.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1700.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1710.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1720.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1730.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1740.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1750.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1760.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1770.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1780.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1790.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1800.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1810.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1820.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1830.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1840.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1850.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1860.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1870.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1880.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1890.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1900.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1910.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1920.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1930.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1940.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1950.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1960.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1970.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
