helics_simulation_time,Occupation[1],Occupation[2],Occupation[3],CooSea,TSetPoint[1],TSetPoint[2],TSetPoint[3],TSetPointZonSelCol[1],TSetPointZonSelCol[2],TSetPointZonSelCol[3],TSetDHWSelCon,TSetDHW
62280.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62340.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62400.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62460.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62520.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62580.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62640.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62700.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62760.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62820.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62880.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
62940.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63000.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63060.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63120.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63180.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63240.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63300.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63360.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63420.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63480.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63540.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
